Start training...
Start training...
Start training...
Start training...
Start training...
Start training...
Start training...
Iter[3] Batch[40] Train-rmse=0.530676
Iter[3] Batch[42] Train-rmse=0.530623
Iter[3] Batch[44] Train-rmse=0.530486
Iter[3] Batch[46] Train-rmse=0.530570
Iter[3] Batch[48] Train-rmse=0.530673
Epoch[3] Train-rmse=0.530673
Epoch[3] Time cost=265.788
Saved checkpoint to "unet-0004.params"
Epoch[3] Validation-rmse=0.527439
Iter[4] Batch[0] Train-rmse=0.532644
Iter[4] Batch[2] Train-rmse=0.529716
Iter[4] Batch[4] Train-rmse=0.528537
Iter[4] Batch[6] Train-rmse=0.529140
Iter[4] Batch[8] Train-rmse=0.528757
Iter[4] Batch[10] Train-rmse=0.528083
Iter[4] Batch[12] Train-rmse=0.528201
Iter[4] Batch[14] Train-rmse=0.528522
Iter[4] Batch[16] Train-rmse=0.528536
Iter[4] Batch[18] Train-rmse=0.528996
Iter[4] Batch[20] Train-rmse=0.528492
Iter[4] Batch[22] Train-rmse=0.528753
Iter[4] Batch[24] Train-rmse=0.528653
Iter[4] Batch[26] Train-rmse=0.528830
Iter[4] Batch[28] Train-rmse=0.528633
Iter[4] Batch[30] Train-rmse=0.528639
Iter[4] Batch[32] Train-rmse=0.528917
Iter[4] Batch[34] Train-rmse=0.528345
Iter[4] Batch[36] Train-rmse=0.528410
Iter[4] Batch[38] Train-rmse=0.527770
Iter[4] Batch[40] Train-rmse=0.527823
Iter[4] Batch[42] Train-rmse=0.527953
Iter[4] Batch[44] Train-rmse=0.527137
Iter[4] Batch[46] Train-rmse=0.527214
Iter[4] Batch[48] Train-rmse=0.527573
Epoch[4] Train-rmse=0.527573
Epoch[4] Time cost=278.197
Saved checkpoint to "unet-0005.params"
Epoch[4] Validation-rmse=0.522953
Iter[5] Batch[0] Train-rmse=0.531105
Iter[5] Batch[2] Train-rmse=0.527500
Iter[5] Batch[4] Train-rmse=0.527599
Iter[5] Batch[6] Train-rmse=0.525900
Iter[5] Batch[8] Train-rmse=0.526426
Iter[5] Batch[10] Train-rmse=0.526991
Iter[5] Batch[12] Train-rmse=0.527466
Iter[5] Batch[14] Train-rmse=0.526604
Iter[5] Batch[16] Train-rmse=0.525580
Iter[5] Batch[18] Train-rmse=0.525788
Iter[5] Batch[20] Train-rmse=0.525672
Iter[5] Batch[22] Train-rmse=0.525944
Iter[5] Batch[24] Train-rmse=0.526297
Iter[5] Batch[26] Train-rmse=0.526552
Iter[5] Batch[28] Train-rmse=0.526394
Iter[5] Batch[30] Train-rmse=0.526597
Iter[5] Batch[32] Train-rmse=0.526649
Iter[5] Batch[34] Train-rmse=0.526619
Iter[5] Batch[36] Train-rmse=0.526598
Iter[5] Batch[38] Train-rmse=0.526730
Iter[5] Batch[40] Train-rmse=0.526791
Iter[5] Batch[42] Train-rmse=0.527007
Start training...
Iter[0] Batch[0] Train-mae=0.640638
Iter[0] Batch[2] Train-mae=0.625964
Iter[0] Batch[4] Train-mae=0.625280
Iter[0] Batch[6] Train-mae=0.621056
Iter[0] Batch[8] Train-mae=0.618478
Iter[0] Batch[10] Train-mae=0.611819
Iter[0] Batch[12] Train-mae=0.610911
Iter[0] Batch[14] Train-mae=0.606082
Iter[0] Batch[16] Train-mae=0.602987
Iter[0] Batch[18] Train-mae=0.600236
Iter[0] Batch[20] Train-mae=0.597144
Iter[0] Batch[22] Train-mae=0.594137
Iter[0] Batch[24] Train-mae=0.592609
Iter[0] Batch[26] Train-mae=0.590252
Iter[0] Batch[28] Train-mae=0.588272
Iter[0] Batch[30] Train-mae=0.585988
Iter[0] Batch[32] Train-mae=0.583932
Iter[0] Batch[34] Train-mae=0.581980
Iter[0] Batch[36] Train-mae=0.580020
Iter[0] Batch[38] Train-mae=0.578112
Iter[0] Batch[40] Train-mae=0.576641
Iter[0] Batch[42] Train-mae=0.575305
Iter[0] Batch[44] Train-mae=0.573378
Iter[0] Batch[46] Train-mae=0.571789
Iter[0] Batch[48] Train-mae=0.570964
Epoch[0] Train-mae=0.570964
Epoch[0] Time cost=233.593
Saved checkpoint to "unet-0001.params"
Epoch[0] Validation-mae=0.637106
Iter[1] Batch[0] Train-mae=0.533944
Iter[1] Batch[2] Train-mae=0.530226
Iter[1] Batch[4] Train-mae=0.533604
Iter[1] Batch[6] Train-mae=0.536499
Iter[1] Batch[8] Train-mae=0.536818
Iter[1] Batch[10] Train-mae=0.534802
Iter[1] Batch[12] Train-mae=0.535958
Iter[1] Batch[14] Train-mae=0.536416
Iter[1] Batch[16] Train-mae=0.536676
Iter[1] Batch[18] Train-mae=0.536811
Iter[1] Batch[20] Train-mae=0.537164
Iter[1] Batch[22] Train-mae=0.537601
Iter[1] Batch[24] Train-mae=0.537415
Iter[1] Batch[26] Train-mae=0.537504
Iter[1] Batch[28] Train-mae=0.537225
Iter[1] Batch[30] Train-mae=0.536198
Iter[1] Batch[32] Train-mae=0.536261
Iter[1] Batch[34] Train-mae=0.536521
Iter[1] Batch[36] Train-mae=0.536319
Iter[1] Batch[38] Train-mae=0.536415
Iter[1] Batch[40] Train-mae=0.536320
Iter[1] Batch[42] Train-mae=0.536099
Iter[1] Batch[44] Train-mae=0.535634
Iter[1] Batch[46] Train-mae=0.535034
Iter[1] Batch[48] Train-mae=0.535201
Epoch[1] Train-mae=0.535201
Epoch[1] Time cost=222.783
Saved checkpoint to "unet-0002.params"
